#LIBRARY    ENDF/B-VIII.0
#REACTION   H-3(D,N`)HE-4-L0,SIG
#NUCLEUS    H-3
#MF         3
#MT         50
#EN-MIN     100
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 4427.68     3.1632E-06   Lin-Lin
 4461.45     3.40197E-06  Lin-Lin
 4508.37     3.75865E-06  Lin-Lin
 4551.85     4.11665E-06  Lin-Lin
 4591.26     4.46527E-06  Lin-Lin
 4627.72     4.80942E-06  Lin-Lin
 4672.69     5.26419E-06  Lin-Lin
 4712.4      5.695E-06    Lin-Lin
 4763.86     6.29652E-06  Lin-Lin
 4792.76     6.65685E-06  Lin-Lin
 4843.75     7.33446E-06  Lin-Lin
 4896.9      8.10074E-06  Lin-Lin
 4933.48     8.66563E-06  Lin-Lin
 4977.73     9.39229E-06  Lin-Lin
 5028.57     1.02897E-05  Lin-Lin
 5083.51     1.13387E-05  Lin-Lin
 5136.45     1.24315E-05  Lin-Lin
 5186.58     1.35449E-05  Lin-Lin
 5234.02     1.4673E-05   Lin-Lin
 5278.89     1.581E-05    Lin-Lin
 5321.3      1.69504E-05  Lin-Lin
 5380.88     1.86652E-05  Lin-Lin
 5434.94     2.03421E-05  Lin-Lin
 5485.03     2.20037E-05  Lin-Lin
 5546.9      2.42079E-05  Lin-Lin
 5601.61     2.63041E-05  Lin-Lin
 5649.93     2.82761E-05  Lin-Lin
 5711.29     3.09525E-05  Lin-Lin
 5763.16     3.33724E-05  Lin-Lin
 5821.48     3.62743E-05  Lin-Lin
 5884.62     3.96433E-05  Lin-Lin
 5942.03     4.29226E-05  Lin-Lin
 6000        4.6453E-05   Lin-Lin
 6058.09     5.02302E-05  Lin-Lin
 6113.05     5.40292E-05  Lin-Lin
 6189.55     5.96987E-05  Lin-Lin
 6260.59     6.53826E-05  Lin-Lin
 6325.08     7.09114E-05  Lin-Lin
 6384.83     7.63633E-05  Lin-Lin
 6458.67     8.35584E-05  Lin-Lin
 6523.98     9.0365E-05   Lin-Lin
 6608.76     9.98537E-05  Lin-Lin
 6656.44     0.000105529  Lin-Lin
 6740.72     0.000116187  Lin-Lin
 6828.74     0.000128213  Lin-Lin
 6889.42     0.000137063  Lin-Lin
 6962.94     0.000148427  Lin-Lin
 7029.27     0.000159317  Lin-Lin
 7114.11     0.000174176  Lin-Lin
 7191.17     0.000188599  Lin-Lin
 7262.6      0.000202795  Lin-Lin
 7350.93     0.000221491  Lin-Lin
 7429.09     0.000239141  Lin-Lin
 7530.62     0.00026369   Lin-Lin
 7638.1      0.000291778  Lin-Lin
 7727.01     0.00031673   Lin-Lin
 7823.42     0.00034563   Lin-Lin
 7911.22     0.000373691  Lin-Lin
 8029.5      0.000414276  Lin-Lin
 8114.92     0.000445704  Lin-Lin
 8220.61     0.000487102  Lin-Lin
 8314.22     0.000526183  Lin-Lin
 8435.91     0.000580541  Lin-Lin
 8564.86     0.000642733  Lin-Lin
 8671.63     0.000697977  Lin-Lin
 8787.51     0.00076195   Lin-Lin
 8893.12     0.000824054  Lin-Lin
 9000        0.00089074   Lin-Lin
 9119.31     0.000970152  Lin-Lin
 9271.64     0.00107918   Lin-Lin
 9401.08     0.00117887   Lin-Lin
 9547.36     0.00129968   Lin-Lin
 9700.6      0.00143594   Lin-Lin
 9806.48     0.00153614   Lin-Lin
 9935.07     0.00166472   Lin-Lin
 10059.7     0.00179705   Lin-Lin
 10225.9     0.00198564   Lin-Lin
 10402.3     0.00220145   Lin-Lin
 10548.6     0.00239317   Lin-Lin
 10707.6     0.00261517   Lin-Lin
 10852.8     0.00283066   Lin-Lin
 11000       0.003062     Lin-Lin
 11173.3     0.00335274   Lin-Lin
 11320.5     0.0036149    Lin-Lin
 11486.7     0.00392837   Lin-Lin
 11667.4     0.00429108   Lin-Lin
 11888.1     0.00476572   Lin-Lin
 12057.9     0.00515644   Lin-Lin
 12226.1     0.00556673   Lin-Lin
 12434.9     0.00610789   Lin-Lin
 12620.6     0.00661936   Lin-Lin
 12862.9     0.00733144   Lin-Lin
 13120.8     0.00814677   Lin-Lin
 13335.3     0.00887128   Lin-Lin
 13569       0.00971036   Lin-Lin
 13782.8     0.0105248    Lin-Lin
 14000       0.011399     Lin-Lin
 14235.6     0.0124105    Lin-Lin
 14537.7     0.0137947    Lin-Lin
 14795.4     0.0150559    Lin-Lin
 15087.8     0.0165785    Lin-Lin
 15310.8     0.0178076    Lin-Lin
 15651.6     0.0198007    Lin-Lin
 16000       0.021986     Lin-Lin
 16342.2     0.0243034    Lin-Lin
 16634.3     0.0264037    Lin-Lin
 16965.7     0.0289269    Lin-Lin
 17328.1     0.0318598    Lin-Lin
 17660.8     0.0347161    Lin-Lin
 18000       0.037791     Lin-Lin
 18450       0.0421749    Lin-Lin
 18825.9     0.0460733    Lin-Lin
 19237.1     0.0505896    Lin-Lin
 19742.4     0.0565051    Lin-Lin
 20000       0.059678     Lin-Lin
 20482.3     0.0659741    Lin-Lin
 20851.6     0.0710597    Lin-Lin
 21418.1     0.0793108    Lin-Lin
 22000       0.088359     Lin-Lin
 22668       0.0995979    Lin-Lin
 23135       0.107932     Lin-Lin
 23708.1     0.118699     Lin-Lin
 24241.3     0.129308     Lin-Lin
 24855.3     0.142261     Lin-Lin
 25612.7     0.159214     Lin-Lin
 26242       0.174191     Lin-Lin
 26856.8     0.189671     Lin-Lin
 27613.6     0.209727     Lin-Lin
 28242.5     0.227316     Lin-Lin
 29233.8     0.25683      Lin-Lin
 30000       0.28096      Lin-Lin
 35000       0.47073      Lin-Lin
 40000       0.71636      Lin-Lin
 45000       1.0173       Lin-Lin
 50000       1.3702       Lin-Lin
 55000       1.7686       Lin-Lin
 60000       2.2021       Lin-Lin
 70000       3.1134       Lin-Lin
 75000       3.5535       Lin-Lin
 80000       3.9571       Lin-Lin
 85000       4.3068       Lin-Lin
 90000       4.5902       Lin-Lin
 95000       4.8005       Lin-Lin
 100000      4.937        Lin-Lin
 102000      4.9718       Lin-Lin
 104000      4.9959       Lin-Lin
 108000      5.0142       Lin-Lin
 112000      4.9969       Lin-Lin
 114000      4.9766       Lin-Lin
 120000      4.8769       Lin-Lin
 125000      4.7592       Lin-Lin
 130000      4.6194       Lin-Lin
 140000      4.3027       Lin-Lin
 150000      3.9704       Lin-Lin
 160000      3.6475       Lin-Lin
 170000      3.3465       Lin-Lin
 180000      3.0723       Lin-Lin
 190000      2.8256       Lin-Lin
 200000      2.6051       Lin-Lin
 220000      2.2332       Lin-Lin
 240000      1.9369       Lin-Lin
 260000      1.6985       Lin-Lin
 280000      1.5046       Lin-Lin
 300000      1.3448       Lin-Lin
 320000      1.2116       Lin-Lin
 340000      1.0994       Lin-Lin
 360000      1.0039       Lin-Lin
 380000      0.92182      Lin-Lin
 400000      0.85074      Lin-Lin
 420000      0.7887       Lin-Lin
 440000      0.7342       Lin-Lin
 460000      0.686        Lin-Lin
 480000      0.64315      Lin-Lin
 500000      0.60485      Lin-Lin
 550000      0.52504      Lin-Lin
 600000      0.46249      Lin-Lin
 650000      0.4124       Lin-Lin
 700000      0.37157      Lin-Lin
 750000      0.33778      Lin-Lin
 800000      0.30944      Lin-Lin
 850000      0.28541      Lin-Lin
 900000      0.26483      Lin-Lin
 950000      0.24705      Lin-Lin
 1E+06       0.23158      Lin-Lin
 1.1E+06     0.20607      Lin-Lin
 1.2E+06     0.18603      Lin-Lin
 1.3E+06     0.16999      Lin-Lin
 1.4E+06     0.15695      Lin-Lin
 1.5E+06     0.1462       Lin-Lin
 1.6E+06     0.13725      Lin-Lin
 1.7E+06     0.12971      Lin-Lin
 1.8E+06     0.12333      Lin-Lin
 1.9E+06     0.11788      Lin-Lin
 2E+06       0.1132       Lin-Lin
 2.1E+06     0.10916      Lin-Lin
 2.2E+06     0.10567      Lin-Lin
 2.3E+06     0.10263      Lin-Lin
 2.4E+06     0.099995     Lin-Lin
 2.5E+06     0.097697     Lin-Lin
 2.6E+06     0.095695     Lin-Lin
 2.7E+06     0.093952     Lin-Lin
 2.8E+06     0.092438     Lin-Lin
 3E+06       0.089992     Lin-Lin
 3.2E+06     0.088184     Lin-Lin
 3.4E+06     0.086877     Lin-Lin
 3.6E+06     0.085975     Lin-Lin
 3.8E+06     0.085262     Lin-Lin
 4.8E+06     0.081523     Lin-Lin
 5.2E+06     0.079509     Lin-Lin
 5.8E+06     0.075695     Lin-Lin
 6.6E+06     0.070442     Lin-Lin
 7E+06       0.067979     Lin-Lin
 8E+06       0.061234     Lin-Lin
 8.5E+06     0.058278     Lin-Lin
 9E+06       0.05568      Lin-Lin
 9.5E+06     0.053365     Lin-Lin
 1E+07       0.051372     Lin-Lin
 1.1E+07     0.047773     Lin-Lin
 1.14E+07    0.046531     Lin-Lin
 1.2E+07     0.044817     Lin-Lin
 1.275E+07   0.042837     Lin-Lin
 1.336E+07   0.041536     Lin-Lin
 1.35E+07    0.041155     Lin-Lin
 1.5E+07     0.038398     Lin-Lin
 1.65E+07    0.036127     Lin-Lin
 1.8E+07     0.034278     Lin-Lin
 1.9E+07     0.033226     Lin-Lin
 2E+07       0.032297     Lin-Lin
 2.25E+07    0.030399     Lin-Lin
 2.4E+07     0.029494     Lin-Lin
 2.5E+07     0.028973     Lin-Lin
 2.75E+07    0.027892     Lin-Lin
 3E+07       0.027062     Lin-Lin
#END
