#ZVView-data-copy:   9-Jul-2018 18:24:53
#=======================================
#
#name:   ENDF/B-VIII.0: HE-3(D,P`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  309
#data...
#            X            Y
#          MeV        barns
     0.0612127   0.00254257
     0.0621383   0.00273422
     0.0635531   0.00304538
         0.065     0.003387
     0.0662155   0.00369461
      0.067142   0.00394099
     0.0685561    0.0043373
          0.07    0.0047677
       0.07168   0.00530548
     0.0735587   0.00595112
         0.075    0.0064787
     0.0762199   0.00695082
     0.0780871   0.00771424
          0.08    0.0085483
     0.0821503   0.00955726
     0.0840393    0.0105011
     0.0862233    0.0116563
     0.0880914    0.0127114
     0.0906103    0.0142358
     0.0930933    0.0158343
     0.0962261    0.0180159
     0.0987258    0.0198812
      0.102411    0.0228187
      0.104258    0.0243856
      0.107091      0.02694
          0.11     0.029762
       0.11334    0.0331187
      0.115675    0.0356219
      0.118541    0.0388767
      0.122425    0.0435208
      0.126156    0.0482756
          0.13      0.05355
      0.132431     0.056983
      0.136163    0.0625496
      0.141213    0.0706229
       0.14429    0.0757793
      0.148072    0.0824664
       0.15244    0.0905773
      0.157439      0.10041
      0.162443     0.110852
      0.167443     0.121874
      0.172447     0.133514
      0.177446     0.145742
      0.184932     0.165169
      0.192452     0.186065
           0.2      0.20842
      0.207454     0.231675
      0.214942     0.256301
      0.224944     0.291028
       0.23746     0.337098
          0.25      0.38568
      0.264953     0.445228
          0.29      0.54603
           0.3       0.5847
          0.31      0.62164
          0.32      0.65629
          0.33      0.68815
          0.34      0.71679
          0.35      0.74186
          0.36      0.76314
          0.37       0.7805
          0.38      0.79392
          0.39      0.80349
         0.404      0.81075
         0.413      0.81191
      0.427493     0.808554
          0.44       0.8014
      0.454973     0.788049
      0.474974     0.764868
           0.5      0.72992
      0.524404     0.689787
          0.55      0.65186
      0.574456     0.612778
      0.612127      0.55847
      0.637122     0.524921
      0.662155     0.493967
       0.68715     0.465385
      0.712179     0.439202
      0.737175     0.415196
      0.762199     0.393233
      0.787196     0.373125
      0.812217     0.354701
          0.85      0.32967
      0.887231     0.308025
      0.912248     0.294875
          0.95      0.27688
      0.987259     0.261159
       1.02411     0.247319
       1.06138     0.234682
           1.1      0.22269
       1.14891     0.209563
           1.2      0.19721
         1.249     0.187006
           1.3      0.17733
        1.3743     0.165304
           1.4      0.16148

#-------------------------------------------------------------------------------

